Date,Region,District,Town,Grid,Power_Consumption_MWh,Power_Generation_MWh,Power_Outage
2016-01-28,Upper West Region,District Two,Town Four,Grid Four,1006,1182,A
2016-01-29,North East Region,District Five,Town Four,Grid Two,1717,472,A
2016-01-30,Western North Region,District Five,Town Three,Grid Two,1423,478,A
2016-01-31,Central Region,District one,Town Four,Grid One,687,651,A
2016-02-01,Western Region,District Two,Town Three,Grid Five,1435,1754,A
2016-02-02,Upper East Region,District Four,Town Four,Grid Five,594,1441,A
2016-02-03,North East Region,District one,Town Five,Grid Four,862,1055,A
2016-02-04,Savannah Region,District Two,Town Four,Grid One,998,987,A
2016-02-05,Ashanti Region,District one,Town Four,Grid Three,1906,449,A
2016-02-06,Upper East Region,District Two,Town Five,Grid Two,622,1221,A
2016-02-07,Northern Region,District one,Town One,Grid Five,632,1616,A
2016-02-08,Northern Region,District one,Town Five,Grid Five,782,900,A
2016-02-09,Savannah Region,District one,Town One,Grid Five,1347,1795,A
2016-02-10,Savannah Region,District Four,Town One,Grid One,874,1427,A
2016-02-11,Ashanti Region,District Three,Town Three,Grid Five,790,1289,A
2016-02-12,Upper West Region,District Four,Town One,Grid Four,618,643,A
2016-02-13,Ahafo Region,District Five,Town Two,Grid Five,1854,1645,A
2016-02-14,Upper West Region,District Two,Town Three,Grid Two,916,499,A
2016-02-15,Eastern Region,District Two,Town One,Grid Two,1259,1683,A
2016-02-16,Greater Accra Region,District Three,Town Three,Grid Two,1300,966,A
2016-02-17,Western Region,District Five,Town One,Grid Four,846,949,A
2016-02-18,Volta Region,District one,Town Two,Grid Four,910,803,B
2016-02-19,Western Region,District Two,Town Five,Grid Five,1928,1299,A
2016-02-20,Ahafo Region,District Two,Town Four,Grid Four,1117,1696,A
2016-02-21,Western Region,District Five,Town One,Grid Five,1887,1476,A
2016-02-22,Brong-Ahafo Region,District Three,Town Five,Grid Three,766,1161,A
2016-02-23,Ashanti Region,District Three,Town Three,Grid Two,793,993,A
2016-02-24,Ahafo Region,District Five,Town Four,Grid Four,926,1376,A
2016-02-25,Western Region,District Three,Town Two,Grid Five,665,786,A
2016-02-26,North East Region,District Two,Town Five,Grid Five,1944,880,A
2016-02-27,Upper East Region,District Five,Town Three,Grid Two,1830,1603,A
2016-02-28,Savannah Region,District Three,Town One,Grid One,1810,620,A
2016-02-29,Northern Region,District one,Town Three,Grid One,615,795,B
2016-03-01,Upper East Region,District one,Town Four,Grid Two,783,1648,A
2016-03-02,North East Region,District one,Town Three,Grid Three,1941,1527,A
2016-03-03,Volta Region,District Five,Town Two,Grid Five,869,1250,A
2016-03-04,Brong-Ahafo Region,District Two,Town Four,Grid One,812,1441,A
2016-03-05,Western North Region,District one,Town Four,Grid Three,879,659,A
2016-03-06,Brong-Ahafo Region,District Two,Town Three,Grid Three,835,1602,A
2016-03-07,Bono East Region,District Two,Town Three,Grid One,1001,1101,A
2016-03-08,Ashanti Region,District one,Town One,Grid One,1997,794,A
2016-03-09,Western North Region,District Five,Town Five,Grid One,815,525,A
2016-03-10,Ashanti Region,District Two,Town Four,Grid Three,568,537,A
2016-03-11,Brong-Ahafo Region,District Four,Town Three,Grid One,1228,790,A
2016-03-12,Western North Region,District Five,Town One,Grid Three,667,1786,A
2016-03-13,Bono East Region,District Three,Town Five,Grid Two,1538,1543,A
2016-03-14,Western Region,District Five,Town One,Grid Four,832,1039,B
2016-03-15,Upper East Region,District Five,Town Five,Grid One,508,1326,A
2016-03-16,Central Region,District Five,Town Three,Grid Four,583,1689,A
2016-03-17,North East Region,District Four,Town One,Grid Five,1358,1535,A
2016-03-18,Ahafo Region,District Two,Town Four,Grid Four,1344,1672,A
2016-03-19,Western North Region,District one,Town Four,Grid Three,969,1410,A
2016-03-20,Upper East Region,District Three,Town Three,Grid Five,553,1073,A
2016-03-21,Brong-Ahafo Region,District one,Town Five,Grid Three,531,1464,A
2016-03-22,Western Region,District Four,Town Two,Grid Five,1028,1300,A
2016-03-23,Greater Accra Region,District Four,Town Four,Grid Two,1222,526,B
2016-03-24,Savannah Region,District Four,Town Two,Grid Four,766,541,A
2016-03-25,Greater Accra Region,District Three,Town One,Grid Three,1682,1349,A
2016-03-26,Northern Region,District Four,Town Five,Grid One,1651,732,B
2016-03-27,Volta Region,District Five,Town Three,Grid Four,544,1593,A
2016-03-28,Eastern Region,District Two,Town Three,Grid One,1739,1262,A
2016-03-29,Upper West Region,District Three,Town Three,Grid Four,1523,861,B
2016-03-30,Western North Region,District one,Town Two,Grid One,1328,1628,A
2016-03-31,Greater Accra Region,District Five,Town Four,Grid Three,588,863,A
2016-04-01,Northern Region,District Four,Town Two,Grid Three,1393,1427,B
2016-04-02,Western Region,District one,Town Two,Grid Five,1850,731,A
2016-04-03,Western Region,District Five,Town Five,Grid Four,1060,456,A
2016-04-04,Upper West Region,District Five,Town Four,Grid Two,1963,1071,A
2016-04-05,Upper East Region,District one,Town Four,Grid Two,1965,1722,B
2016-04-06,Oti Region,District Two,Town Five,Grid Two,916,1505,A
2016-04-07,Eastern Region,District one,Town Four,Grid Three,966,806,A
2016-04-08,Central Region,District Four,Town Five,Grid Two,1397,851,A
2016-04-09,Ashanti Region,District Three,Town One,Grid Four,1244,533,A
2016-04-10,Oti Region,District Four,Town Five,Grid Three,1303,695,A
2016-04-11,Brong-Ahafo Region,District Two,Town Five,Grid Four,1604,1648,A
2016-04-12,Brong-Ahafo Region,District Four,Town Three,Grid Four,1269,919,A
2016-04-13,North East Region,District Three,Town One,Grid Four,537,1750,A
2016-04-14,North East Region,District Two,Town Four,Grid One,1727,542,A
2016-04-15,Oti Region,District one,Town Five,Grid Two,1670,872,A
2016-04-16,Northern Region,District Two,Town Two,Grid Two,1936,742,A
2016-04-17,Upper West Region,District Four,Town Two,Grid Two,1138,1769,A
2016-04-18,Western North Region,District Four,Town Five,Grid Five,1540,1097,A
2016-04-19,Oti Region,District Three,Town One,Grid Three,1299,556,A
2016-04-20,Ashanti Region,District Two,Town Four,Grid Two,788,1717,A
2016-04-21,Northern Region,District Two,Town One,Grid Two,1609,551,A
2016-04-22,Savannah Region,District Four,Town One,Grid Four,719,1285,A
2016-04-23,Upper West Region,District one,Town Two,Grid Four,1216,1657,B
2016-04-24,Western Region,District Four,Town One,Grid One,1354,963,A
2016-04-25,Savannah Region,District Two,Town Four,Grid Five,1815,1160,B
2016-04-26,Eastern Region,District Three,Town Two,Grid Two,1104,1649,A
2016-04-27,North East Region,District one,Town One,Grid Five,1766,930,A
2016-04-28,Greater Accra Region,District Five,Town Four,Grid Two,1836,1792,A
2016-04-29,Ashanti Region,District Four,Town One,Grid Three,1187,464,A
2016-04-30,Oti Region,District Three,Town Two,Grid One,1048,736,A
2016-05-01,North East Region,District Three,Town Five,Grid One,1898,1553,A
2016-05-02,Upper East Region,District Two,Town Three,Grid Two,1375,518,B
2016-05-03,Savannah Region,District Three,Town Four,Grid Two,1231,1563,A
2016-05-04,Western Region,District Five,Town Two,Grid Four,840,1049,A
2016-05-05,Ahafo Region,District Three,Town Two,Grid Five,1962,838,A
2016-05-06,Upper West Region,District Four,Town Five,Grid Four,957,926,A
2016-05-07,Ahafo Region,District Four,Town Four,Grid One,1285,1459,A
2016-05-08,Brong-Ahafo Region,District Two,Town Two,Grid Two,1602,1510,A
2016-05-09,Ashanti Region,District Three,Town Two,Grid Four,1389,925,B
2016-05-10,Volta Region,District Two,Town Two,Grid Two,1324,1518,A
2016-05-11,Greater Accra Region,District one,Town Two,Grid Three,694,644,A
2016-05-12,Ashanti Region,District Five,Town Two,Grid Two,951,881,A
2016-05-13,Western Region,District Two,Town Four,Grid Two,1292,1477,A
2016-05-14,Central Region,District Three,Town One,Grid Four,1540,1394,B
2016-05-15,Western North Region,District one,Town Two,Grid Four,1314,573,A
2016-05-16,Western Region,District Two,Town One,Grid Three,616,1569,B
2016-05-17,Western North Region,District Two,Town Four,Grid Four,1956,579,A
2016-05-18,Ashanti Region,District Five,Town Two,Grid Three,733,1657,A
2016-05-19,Greater Accra Region,District Four,Town Five,Grid One,1305,1471,A
2016-05-20,North East Region,District one,Town One,Grid Four,1606,655,A
2016-05-21,Ahafo Region,District one,Town Two,Grid Four,1608,1263,A
2016-05-22,Oti Region,District Two,Town Two,Grid Three,1776,583,A
2016-05-23,Greater Accra Region,District Three,Town Four,Grid Four,1592,1687,A
2016-05-24,Volta Region,District Four,Town Three,Grid One,1533,1765,A
2016-05-25,Upper East Region,District Two,Town Two,Grid Four,1239,1660,A
2016-05-26,Western North Region,District Five,Town One,Grid Five,1639,576,A
2016-05-27,Ashanti Region,District Four,Town One,Grid One,1044,1018,A
2016-05-28,Eastern Region,District Three,Town Three,Grid Three,545,774,A
2016-05-29,Savannah Region,District Two,Town Four,Grid Five,1066,1225,A
2016-05-30,Ashanti Region,District Two,Town Four,Grid Four,655,1300,A
2016-05-31,Bono East Region,District Two,Town One,Grid Five,716,950,A
2016-06-01,Ahafo Region,District Four,Town One,Grid Two,1446,1276,B
2016-06-02,Northern Region,District Four,Town Two,Grid Five,554,1781,A
2016-06-03,Brong-Ahafo Region,District Three,Town Three,Grid Two,1341,671,A
2016-06-04,Central Region,District one,Town One,Grid One,648,748,A
2016-06-05,Volta Region,District Four,Town Two,Grid Five,1299,889,A
2016-06-06,Ashanti Region,District Two,Town Three,Grid Three,1758,1484,A
2016-06-07,Northern Region,District Four,Town Five,Grid One,1051,647,B
2016-06-08,Central Region,District Five,Town Four,Grid Three,967,1628,A
2016-06-09,Northern Region,District Two,Town Four,Grid Two,1000,1222,A
2016-06-10,Greater Accra Region,District Three,Town Four,Grid Three,1621,476,A
2016-06-11,Greater Accra Region,District Two,Town Three,Grid Five,501,699,A
2016-06-12,Upper West Region,District Four,Town Three,Grid Two,945,1637,A
2016-06-13,North East Region,District Two,Town One,Grid Three,1246,794,B
2016-06-14,Ahafo Region,District Two,Town Two,Grid Three,775,992,B
2016-06-15,Northern Region,District Four,Town Three,Grid Four,853,786,A
2016-06-16,North East Region,District Three,Town Three,Grid Five,1962,1698,A
2016-06-17,Greater Accra Region,District one,Town Four,Grid Two,1720,1314,A
2016-06-18,Western North Region,District one,Town Two,Grid Two,1131,1369,A
2016-06-19,Savannah Region,District Three,Town Three,Grid Five,928,444,A
2016-06-20,Western North Region,District one,Town Four,Grid One,626,1454,A
2016-06-21,Ashanti Region,District Two,Town Five,Grid Three,592,1580,B
2016-06-22,Bono East Region,District Three,Town Three,Grid Five,1389,1086,A
2016-06-23,Eastern Region,District Five,Town One,Grid One,679,1636,A
2016-06-24,Bono East Region,District Four,Town Three,Grid One,635,1664,A
2016-06-25,Upper West Region,District Two,Town Five,Grid Five,1224,1285,A
2016-06-26,Brong-Ahafo Region,District Three,Town Four,Grid Four,1675,1183,A
2016-06-27,Brong-Ahafo Region,District Three,Town Two,Grid Five,1946,1757,A
2016-06-28,Oti Region,District Four,Town Three,Grid One,1044,567,A
2016-06-29,Brong-Ahafo Region,District Two,Town Four,Grid Five,870,1620,A
2016-06-30,Savannah Region,District Five,Town Four,Grid Five,647,657,B
2016-07-01,Western North Region,District Five,Town Five,Grid Five,991,1756,A
2016-07-02,Northern Region,District Five,Town Five,Grid Four,906,505,A
2016-07-03,Brong-Ahafo Region,District one,Town Three,Grid Four,1621,1563,A
2016-07-04,Ashanti Region,District Five,Town One,Grid Two,1786,615,B
2016-07-05,North East Region,District Four,Town One,Grid Four,639,834,A
2016-07-06,Western Region,District Three,Town Three,Grid Five,505,1533,B
2016-07-07,Brong-Ahafo Region,District Two,Town One,Grid Four,991,898,A
2016-07-08,Ashanti Region,District Three,Town Five,Grid Three,1572,431,B
2016-07-09,Central Region,District Five,Town One,Grid Three,1014,451,A
2016-07-10,Upper West Region,District Two,Town One,Grid Two,534,1193,A
2016-07-11,Western North Region,District Five,Town Four,Grid Two,1542,1605,A
2016-07-12,Upper West Region,District Two,Town One,Grid Three,703,1784,A
2016-07-13,Bono East Region,District Three,Town Two,Grid Three,1136,1075,A
2016-07-14,Western Region,District one,Town Four,Grid One,988,653,B
2016-07-15,Greater Accra Region,District Three,Town One,Grid Five,1847,452,A
2016-07-16,Western North Region,District Four,Town Two,Grid Five,1955,475,A
2016-07-17,Upper West Region,District Three,Town Five,Grid One,1887,1181,A
2016-07-18,Northern Region,District one,Town Three,Grid One,1837,1041,B
2016-07-19,Volta Region,District Five,Town Four,Grid Four,1855,915,A
2016-07-20,Bono East Region,District Two,Town Five,Grid Two,832,878,A
2016-07-21,Brong-Ahafo Region,District Three,Town One,Grid Four,1896,1540,A
2016-07-22,Western North Region,District Four,Town Five,Grid Three,1286,1122,A
2016-07-23,Upper West Region,District Four,Town Four,Grid Four,1960,959,A
2016-07-24,Central Region,District one,Town Three,Grid Three,1426,1561,A
2016-07-25,Ashanti Region,District one,Town Three,Grid Five,1211,906,A
2016-07-26,Upper West Region,District Three,Town One,Grid Three,1661,1606,A
2016-07-27,Oti Region,District Two,Town Two,Grid Three,1210,1716,A
2016-07-28,Ashanti Region,District Four,Town Five,Grid One,893,956,A
2016-07-29,Brong-Ahafo Region,District Four,Town Four,Grid Four,964,1212,A
2016-07-30,Oti Region,District Two,Town One,Grid One,874,1327,A
2016-07-31,Bono East Region,District one,Town Five,Grid One,1331,1662,A
2016-08-01,Brong-Ahafo Region,District one,Town One,Grid One,831,1669,A
2016-08-02,Eastern Region,District Two,Town One,Grid Two,722,894,A
2016-08-03,Oti Region,District Three,Town Four,Grid Three,1867,499,A
2016-08-04,Ashanti Region,District Four,Town Five,Grid Three,511,1527,A
2016-08-05,Western Region,District Four,Town Four,Grid Two,1280,1251,A
2016-08-06,Upper West Region,District one,Town Two,Grid Two,639,1113,A
2016-08-07,Oti Region,District Four,Town Three,Grid Two,952,1278,A
2016-08-08,Brong-Ahafo Region,District one,Town One,Grid Four,775,1197,A
2016-08-09,Volta Region,District Two,Town Five,Grid Five,1564,691,A
2016-08-10,Northern Region,District Five,Town One,Grid Five,1935,721,B
2016-08-11,Savannah Region,District Four,Town One,Grid Two,891,1048,A
2016-08-12,Central Region,District Five,Town Four,Grid Four,1432,1689,A
2016-08-13,Northern Region,District Three,Town Two,Grid Four,983,877,A
2016-08-14,North East Region,District Three,Town Four,Grid Four,1839,1682,A
2016-08-15,Volta Region,District Two,Town Four,Grid Four,754,448,A
2016-08-16,Volta Region,District Two,Town Two,Grid One,803,1624,A
2016-08-17,Volta Region,District one,Town Three,Grid One,1525,733,A
2016-08-18,Greater Accra Region,District Three,Town Four,Grid Five,913,1373,A
2016-08-19,Eastern Region,District Five,Town Two,Grid Three,1864,1146,A
2016-08-20,Central Region,District Four,Town Five,Grid Five,1389,1166,A
2016-08-21,Savannah Region,District Four,Town Five,Grid Two,1905,473,A
2016-08-22,North East Region,District Two,Town Five,Grid One,1776,776,A
2016-08-23,Western North Region,District Five,Town Five,Grid Three,1569,1385,A
2016-08-24,Bono East Region,District Two,Town Four,Grid Four,1041,1610,A
2016-08-25,North East Region,District Four,Town Five,Grid Five,544,617,A
2016-08-26,Western North Region,District Three,Town One,Grid Five,1111,590,B
2016-08-27,Western North Region,District Five,Town Four,Grid Four,604,827,A
2016-08-28,Central Region,District one,Town One,Grid Five,1491,1219,A
2016-08-29,Savannah Region,District Five,Town Three,Grid Three,918,1707,A
2016-08-30,Eastern Region,District Two,Town One,Grid Two,1518,1449,A
2016-08-31,Northern Region,District Five,Town Five,Grid Four,558,829,A
2016-09-01,North East Region,District Two,Town Two,Grid One,1903,790,B
2016-09-02,Savannah Region,District Four,Town Three,Grid Five,1296,645,A
2016-09-03,Savannah Region,District Three,Town One,Grid Four,1675,978,A
2016-09-04,Upper East Region,District Five,Town One,Grid Three,854,413,A
2016-09-05,Ahafo Region,District Three,Town Five,Grid One,1106,1024,A
2016-09-06,Upper West Region,District Two,Town Five,Grid One,1425,932,A
2016-09-07,Western Region,District Five,Town Three,Grid Three,1522,1516,A
2016-09-08,Brong-Ahafo Region,District Two,Town Three,Grid Five,1275,898,A
2016-09-09,Eastern Region,District Four,Town Three,Grid One,1776,1396,A
2016-09-10,North East Region,District Two,Town Three,Grid Three,790,1306,A
2016-09-11,Ashanti Region,District one,Town Three,Grid One,958,1536,A
2016-09-12,Savannah Region,District Two,Town Two,Grid Four,1777,1662,B
2016-09-13,Ashanti Region,District one,Town Three,Grid One,650,1244,A
2016-09-14,North East Region,District Four,Town Two,Grid One,1575,907,A
2016-09-15,Central Region,District Two,Town Five,Grid Two,862,1448,A
2016-09-16,Upper West Region,District one,Town Four,Grid Two,757,758,A
2016-09-17,Western North Region,District Two,Town Four,Grid Five,678,1719,A
2016-09-18,Brong-Ahafo Region,District one,Town Three,Grid Five,889,1531,A
2016-09-19,Western Region,District Three,Town Three,Grid Two,990,1773,A
2016-09-20,Eastern Region,District Three,Town Two,Grid Three,1695,684,A
2016-09-21,Greater Accra Region,District Three,Town Four,Grid Four,1696,947,B
2016-09-22,Central Region,District Five,Town Two,Grid Five,1575,1264,B
2016-09-23,Central Region,District Three,Town Five,Grid Two,1997,1735,A
2016-09-24,Upper West Region,District Three,Town One,Grid One,1191,823,A
2016-09-25,Ashanti Region,District Two,Town Three,Grid Two,1917,589,A
2016-09-26,Ahafo Region,District Five,Town Four,Grid Four,1752,463,A
2016-09-27,Brong-Ahafo Region,District Five,Town Two,Grid Four,795,1537,A
2016-09-28,Upper West Region,District Four,Town Five,Grid Three,1881,493,A
2016-09-29,Northern Region,District Five,Town Three,Grid One,1774,1125,A
2016-09-30,Brong-Ahafo Region,District Four,Town One,Grid One,1197,418,A
2016-10-01,Western Region,District one,Town Five,Grid Two,1049,951,A
2016-10-02,Northern Region,District Five,Town Two,Grid Two,1545,1462,A
2016-10-03,Upper West Region,District Three,Town Three,Grid Four,1057,1322,A
2016-10-04,Ahafo Region,District Three,Town Four,Grid Two,1956,1596,A
2016-10-05,Greater Accra Region,District Four,Town Two,Grid One,1300,1777,A
2016-10-06,Greater Accra Region,District Three,Town Three,Grid Five,793,909,A
2016-10-07,Western North Region,District Two,Town One,Grid Four,1137,952,A
2016-10-08,Upper East Region,District Two,Town Two,Grid Four,1823,1489,B
2016-10-09,Ahafo Region,District one,Town Three,Grid Four,1360,1763,A
2016-10-10,Brong-Ahafo Region,District Five,Town One,Grid One,1977,1723,B
2016-10-11,Eastern Region,District one,Town Two,Grid One,1186,1344,A
2016-10-12,Central Region,District Five,Town Three,Grid Two,1556,1630,A
2016-10-13,Northern Region,District one,Town Three,Grid Two,582,1551,A
2016-10-14,Ashanti Region,District Two,Town One,Grid Three,1464,421,A
2016-10-15,Ahafo Region,District one,Town Two,Grid Five,1176,633,A
2016-10-16,Greater Accra Region,District one,Town One,Grid Three,1605,1658,B
2016-10-17,Ahafo Region,District Five,Town Five,Grid Four,678,1533,B
2016-10-18,Oti Region,District one,Town Five,Grid Four,1051,641,A
2016-10-19,Northern Region,District Three,Town Two,Grid Five,1694,924,A
2016-10-20,Northern Region,District Two,Town Two,Grid Two,1641,957,A
2016-10-21,Northern Region,District one,Town Two,Grid Four,1395,1261,A
2016-10-22,Savannah Region,District Two,Town Five,Grid Three,786,1459,B
2016-10-23,Oti Region,District one,Town One,Grid Four,1115,1063,A
2016-10-24,Ashanti Region,District Five,Town Two,Grid Two,1520,798,A
2016-10-25,Ahafo Region,District Five,Town Five,Grid Two,1299,1238,B
2016-10-26,Greater Accra Region,District Two,Town Four,Grid Five,946,1198,A
2016-10-27,Central Region,District Three,Town Two,Grid Four,1334,449,A
2016-10-28,Greater Accra Region,District Four,Town Three,Grid One,1868,1131,A
2016-10-29,Western North Region,District Four,Town Three,Grid Five,748,1129,A
2016-10-30,Ashanti Region,District Four,Town Two,Grid Two,1404,491,A
2016-10-31,Northern Region,District Three,Town Three,Grid Three,1915,1574,A
2016-11-01,Northern Region,District Four,Town Three,Grid Five,878,409,B
2016-11-02,Eastern Region,District Two,Town One,Grid Five,1197,735,A
2016-11-03,North East Region,District Four,Town Two,Grid One,1052,1600,A
2016-11-04,Ashanti Region,District one,Town Two,Grid Four,1259,560,A
2016-11-05,Upper West Region,District Three,Town Five,Grid Three,684,1342,A
2016-11-06,Greater Accra Region,District Two,Town Five,Grid One,1792,811,A
2016-11-07,Greater Accra Region,District Five,Town Five,Grid Three,1483,583,A
2016-11-08,Ahafo Region,District Four,Town Five,Grid Three,1466,408,A
2016-11-09,Upper East Region,District Two,Town Three,Grid Four,1538,513,A
2016-11-10,North East Region,District one,Town One,Grid Two,1127,1271,B
2016-11-11,Western Region,District one,Town Four,Grid Two,752,638,A
2016-11-12,Ahafo Region,District Two,Town One,Grid Two,1362,1604,A
2016-11-13,Western Region,District one,Town Two,Grid Three,1970,539,A
2016-11-14,Western North Region,District Five,Town Four,Grid Two,860,1695,A
2016-11-15,Bono East Region,District one,Town Two,Grid Four,1128,1101,A
2016-11-16,North East Region,District one,Town Two,Grid Five,1457,541,A
2016-11-17,Northern Region,District one,Town Four,Grid Two,1769,1513,A
2016-11-18,Brong-Ahafo Region,District Four,Town Two,Grid Two,677,435,A
2016-11-19,Brong-Ahafo Region,District Five,Town Four,Grid Four,1653,1398,A
2016-11-20,Upper West Region,District Three,Town One,Grid Two,1623,788,A
2016-11-21,Upper East Region,District Three,Town Five,Grid One,1214,1660,A
2016-11-22,Upper East Region,District one,Town Five,Grid Three,1513,450,A
2016-11-23,Savannah Region,District Three,Town Four,Grid Two,1065,1403,B
2016-11-24,Greater Accra Region,District one,Town Five,Grid Three,1068,1079,A
2016-11-25,Western North Region,District Four,Town Five,Grid Three,1709,545,A
2016-11-26,Savannah Region,District Five,Town Three,Grid Three,1132,1037,A
2016-11-27,Western Region,District Five,Town Two,Grid Two,1558,1770,A
2016-11-28,Ahafo Region,District Two,Town Three,Grid Five,739,904,A
2016-11-29,Central Region,District one,Town Five,Grid One,953,1153,A
2016-11-30,Ahafo Region,District Five,Town One,Grid Five,1174,990,A
2016-12-01,Central Region,District one,Town Three,Grid One,1994,777,A
2016-12-02,Bono East Region,District Five,Town Five,Grid One,1581,1227,A
2016-12-03,Volta Region,District Three,Town Four,Grid Three,1123,617,A
2016-12-04,Upper East Region,District Three,Town Three,Grid One,1537,738,A
2016-12-05,Ahafo Region,District Five,Town Three,Grid One,1602,1268,A
2016-12-06,Northern Region,District Five,Town Two,Grid Five,1001,1337,A
2016-12-07,Ahafo Region,District Two,Town Four,Grid Four,1437,623,A
2016-12-08,North East Region,District Two,Town One,Grid Three,729,543,A
2016-12-09,Savannah Region,District Five,Town One,Grid Two,676,1769,A
2016-12-10,Central Region,District Four,Town One,Grid Five,1510,1044,B
2016-12-11,Volta Region,District Three,Town One,Grid One,712,665,A
2016-12-12,Ahafo Region,District Three,Town One,Grid Three,1114,638,A
2016-12-13,Volta Region,District Four,Town Four,Grid Three,1406,1635,A
2016-12-14,Volta Region,District Four,Town Three,Grid One,938,1664,A
2016-12-15,Central Region,District Four,Town Four,Grid One,1771,603,A
2016-12-16,Upper West Region,District Two,Town Five,Grid Three,1989,694,A
2016-12-17,Savannah Region,District Five,Town Two,Grid Five,1219,1036,A
2016-12-18,Upper East Region,District Three,Town Two,Grid Three,661,1355,A
2016-12-19,Greater Accra Region,District one,Town Five,Grid One,942,668,B
2016-12-20,Ashanti Region,District Two,Town Four,Grid Five,722,645,B
2016-12-21,Savannah Region,District Three,Town One,Grid One,783,1270,B
2016-12-22,Upper West Region,District one,Town Two,Grid One,1395,717,B
2016-12-23,Central Region,District Three,Town Five,Grid Five,688,1304,A
2016-12-24,Northern Region,District Two,Town Two,Grid Five,1687,908,A
2016-12-25,Savannah Region,District Five,Town Three,Grid Four,1098,1728,A
2016-12-26,Greater Accra Region,District Three,Town Two,Grid Two,816,930,A
2016-12-27,Upper East Region,District Three,Town Two,Grid Four,1524,1197,A
2016-12-28,Bono East Region,District Two,Town One,Grid Two,1959,1473,A
2016-12-29,Brong-Ahafo Region,District Four,Town Two,Grid Two,1397,1131,B
2016-12-30,Central Region,District Three,Town Two,Grid Three,1075,828,A
2016-12-31,Brong-Ahafo Region,District Two,Town Five,Grid One,820,523,A
2017-01-01,Savannah Region,District Three,Town Five,Grid Two,1158,1212,A
2017-01-02,Volta Region,District Five,Town Three,Grid Two,515,799,B
2017-01-03,North East Region,District Five,Town Four,Grid Two,654,1595,A
2017-01-04,Ashanti Region,District Four,Town Three,Grid Four,1725,1404,A
2017-01-05,Eastern Region,District Two,Town Five,Grid Two,1897,469,A
2017-01-06,Northern Region,District Three,Town Five,Grid Three,514,1735,A
2017-01-07,Ashanti Region,District Four,Town Two,Grid One,1059,512,A
2017-01-08,Western North Region,District Three,Town Five,Grid Five,1158,1531,B
2017-01-09,Eastern Region,District Two,Town Three,Grid Five,874,1060,A
2017-01-10,Northern Region,District one,Town Two,Grid Four,605,1367,A
2017-01-11,Savannah Region,District Five,Town Two,Grid Five,856,1029,A
2017-01-12,Western Region,District Two,Town Three,Grid Two,633,729,A
2017-01-13,Brong-Ahafo Region,District Three,Town Two,Grid Two,1701,540,B
2017-01-14,Savannah Region,District Three,Town Four,Grid Five,1645,1234,A
2017-01-15,Central Region,District Three,Town Two,Grid Four,1833,538,A
2017-01-16,Greater Accra Region,District Four,Town Two,Grid One,1630,1621,B
2017-01-17,Bono East Region,District Four,Town Two,Grid Three,1073,733,A
2017-01-18,Brong-Ahafo Region,District Five,Town One,Grid One,668,1288,A
2017-01-19,Savannah Region,District Two,Town One,Grid Two,1830,1252,A
2017-01-20,North East Region,District one,Town Two,Grid One,1301,406,A
2017-01-21,Eastern Region,District Four,Town One,Grid Two,1180,852,B
2017-01-22,Upper East Region,District one,Town Three,Grid Three,1503,997,A
2017-01-23,Oti Region,District one,Town Two,Grid Three,1653,1672,A
2017-01-24,Volta Region,District Two,Town Two,Grid Three,851,748,B
2017-01-25,Ashanti Region,District Two,Town Five,Grid Three,1223,1404,A
2017-01-26,Volta Region,District one,Town One,Grid Five,1419,1059,A
2017-01-27,Ashanti Region,District Four,Town Three,Grid One,582,414,A
2017-01-28,Volta Region,District Two,Town One,Grid Three,1191,1510,A
2017-01-29,Western Region,District Five,Town Three,Grid Three,1818,1789,A
2017-01-30,Upper East Region,District Four,Town Two,Grid Two,1265,645,A
2017-01-31,Eastern Region,District one,Town Two,Grid Two,1649,548,A
2017-02-01,Oti Region,District Four,Town Five,Grid Four,1543,1391,A
2017-02-02,Bono East Region,District one,Town One,Grid One,947,423,A
2017-02-03,North East Region,District Five,Town Five,Grid One,517,484,A
2017-02-04,Greater Accra Region,District Two,Town Five,Grid One,1158,485,A
2017-02-05,Northern Region,District Four,Town Four,Grid Two,1445,1263,A
2017-02-06,Northern Region,District Four,Town Three,Grid Five,520,997,A
2017-02-07,North East Region,District one,Town Three,Grid Two,1393,515,A
2017-02-08,Eastern Region,District Five,Town Four,Grid Two,1186,1180,A
2017-02-09,Western North Region,District Three,Town One,Grid One,1531,1778,A
2017-02-10,Ahafo Region,District one,Town One,Grid Three,1480,880,A
2017-02-11,Brong-Ahafo Region,District Two,Town Four,Grid Two,1053,474,A
2017-02-12,Ashanti Region,District Three,Town Five,Grid One,1750,1260,A
2017-02-13,Central Region,District one,Town Four,Grid One,1735,1376,A
2017-02-14,North East Region,District Two,Town Two,Grid Four,1848,1194,A
2017-02-15,Bono East Region,District Four,Town Five,Grid Four,660,1631,A
2017-02-16,Volta Region,District Four,Town Three,Grid Five,860,1596,A
2017-02-17,Greater Accra Region,District Two,Town Two,Grid One,676,841,A
2017-02-18,Upper West Region,District Five,Town Four,Grid Five,1018,1476,B
2017-02-19,Savannah Region,District Three,Town Two,Grid Five,1757,1134,A
2017-02-20,Savannah Region,District Four,Town Two,Grid One,722,1189,B
2017-02-21,Eastern Region,District Three,Town One,Grid Three,664,928,A
